src,dst,edge_type
lane10:F0:s9->s10,rank154:F1,blocking_forward_send
lane10:F0:s9->s10,rank170:F0,forward_receive
lane10:F1:s0->s1,rank10:F2,blocking_forward_send
lane10:F1:s0->s1,rank26:F1,forward_receive
lane10:F1:s1->s2,rank26:F2,blocking_forward_send
lane10:F1:s1->s2,rank42:F1,forward_receive
lane10:F1:s10->s11,rank170:F2,blocking_forward_send
lane10:F1:s10->s11,rank186:F1,forward_receive
lane10:F1:s11->s12,rank186:F2,blocking_forward_send
lane10:F1:s11->s12,rank202:F1,forward_receive
lane10:F1:s12->s13,rank202:F2,blocking_forward_send
lane10:F1:s12->s13,rank218:F1,forward_receive
lane10:F1:s13->s14,rank218:F2,blocking_forward_send
lane10:F1:s13->s14,rank234:F1,forward_receive
lane10:F1:s14->s15,rank234:B0,blocking_forward_send
lane10:F1:s14->s15,rank250:F1,forward_receive
lane10:F1:s2->s3,rank42:F2,blocking_forward_send
lane10:F1:s2->s3,rank58:F1,forward_receive
lane10:F1:s3->s4,rank58:F2,blocking_forward_send
lane10:F1:s3->s4,rank74:F1,forward_receive
lane10:F1:s4->s5,rank74:F2,blocking_forward_send
lane10:F1:s4->s5,rank90:F1,forward_receive
lane10:F1:s5->s6,rank106:F1,forward_receive
lane10:F1:s5->s6,rank90:F2,blocking_forward_send
lane10:F1:s6->s7,rank106:F2,blocking_forward_send
lane10:F1:s6->s7,rank122:F1,forward_receive
lane10:F1:s7->s8,rank122:F2,blocking_forward_send
lane10:F1:s7->s8,rank138:F1,forward_receive
lane10:F1:s8->s9,rank138:F2,blocking_forward_send
lane10:F1:s8->s9,rank154:F1,forward_receive
lane10:F1:s9->s10,rank154:F2,blocking_forward_send
lane10:F1:s9->s10,rank170:F1,forward_receive
lane10:F2:s0->s1,rank10:F3,blocking_forward_send
lane10:F2:s0->s1,rank26:F2,forward_receive
lane10:F2:s1->s2,rank26:F3,blocking_forward_send
lane10:F2:s1->s2,rank42:F2,forward_receive
lane10:F2:s10->s11,rank170:F3,blocking_forward_send
lane10:F2:s10->s11,rank186:F2,forward_receive
lane10:F2:s11->s12,rank186:F3,blocking_forward_send
lane10:F2:s11->s12,rank202:F2,forward_receive
lane10:F2:s12->s13,rank202:F3,blocking_forward_send
lane10:F2:s12->s13,rank218:F2,forward_receive
lane10:F2:s13->s14,rank218:B0,blocking_forward_send
lane10:F2:s13->s14,rank234:F2,forward_receive
lane10:F2:s14->s15,rank234:B1,blocking_forward_send
lane10:F2:s14->s15,rank250:F2,forward_receive
lane10:F2:s2->s3,rank42:F3,blocking_forward_send
lane10:F2:s2->s3,rank58:F2,forward_receive
lane10:F2:s3->s4,rank58:F3,blocking_forward_send
lane10:F2:s3->s4,rank74:F2,forward_receive
lane10:F2:s4->s5,rank74:F3,blocking_forward_send
lane10:F2:s4->s5,rank90:F2,forward_receive
lane10:F2:s5->s6,rank106:F2,forward_receive
lane10:F2:s5->s6,rank90:F3,blocking_forward_send
lane10:F2:s6->s7,rank106:F3,blocking_forward_send
lane10:F2:s6->s7,rank122:F2,forward_receive
lane10:F2:s7->s8,rank122:F3,blocking_forward_send
lane10:F2:s7->s8,rank138:F2,forward_receive
lane10:F2:s8->s9,rank138:F3,blocking_forward_send
lane10:F2:s8->s9,rank154:F2,forward_receive
lane10:F2:s9->s10,rank154:F3,blocking_forward_send
lane10:F2:s9->s10,rank170:F2,forward_receive
lane10:F3:s0->s1,rank10:B0,blocking_forward_send
lane10:F3:s0->s1,rank26:F3,forward_receive
lane10:F3:s1->s2,rank26:B0,blocking_forward_send
lane10:F3:s1->s2,rank42:F3,forward_receive
lane10:F3:s10->s11,rank170:B0,blocking_forward_send
lane10:F3:s10->s11,rank186:F3,forward_receive
lane10:F3:s11->s12,rank186:B0,blocking_forward_send
lane10:F3:s11->s12,rank202:F3,forward_receive
lane10:F3:s12->s13,rank202:B0,blocking_forward_send
lane10:F3:s12->s13,rank218:F3,forward_receive
lane10:F3:s13->s14,rank218:B1,blocking_forward_send
lane10:F3:s13->s14,rank234:F3,forward_receive
lane10:F3:s14->s15,rank234:B2,blocking_forward_send
lane10:F3:s14->s15,rank250:F3,forward_receive
lane10:F3:s2->s3,rank42:B0,blocking_forward_send
lane10:F3:s2->s3,rank58:F3,forward_receive
lane10:F3:s3->s4,rank58:B0,blocking_forward_send
lane10:F3:s3->s4,rank74:F3,forward_receive
lane10:F3:s4->s5,rank74:B0,blocking_forward_send
lane10:F3:s4->s5,rank90:F3,forward_receive
lane10:F3:s5->s6,rank106:F3,forward_receive
lane10:F3:s5->s6,rank90:B0,blocking_forward_send
lane10:F3:s6->s7,rank106:B0,blocking_forward_send
lane10:F3:s6->s7,rank122:F3,forward_receive
lane10:F3:s7->s8,rank122:B0,blocking_forward_send
lane10:F3:s7->s8,rank138:F3,forward_receive
lane10:F3:s8->s9,rank138:B0,blocking_forward_send
lane10:F3:s8->s9,rank154:F3,forward_receive
lane10:F3:s9->s10,rank154:B0,blocking_forward_send
lane10:F3:s9->s10,rank170:F3,forward_receive
lane11:B0:s1->s0,rank11:B0,backward_receive
lane11:B0:s1->s0,rank27:B1,blocking_backward_send
lane11:B0:s10->s9,rank155:B0,backward_receive
lane11:B0:s10->s9,rank171:B1,blocking_backward_send
lane11:B0:s11->s10,rank171:B0,backward_receive
lane11:B0:s11->s10,rank187:B1,blocking_backward_send
lane11:B0:s12->s11,rank187:B0,backward_receive
lane11:B0:s12->s11,rank203:B1,blocking_backward_send
lane11:B0:s13->s12,rank203:B0,backward_receive
lane11:B0:s13->s12,rank219:F3,blocking_backward_send
lane11:B0:s14->s13,rank219:B0,backward_receive
lane11:B0:s14->s13,rank235:F2,blocking_backward_send
lane11:B0:s15->s14,rank235:B0,backward_receive
lane11:B0:s15->s14,rank251:F1,blocking_backward_send
lane11:B0:s2->s1,rank27:B0,backward_receive
lane11:B0:s2->s1,rank43:B1,blocking_backward_send
lane11:B0:s3->s2,rank43:B0,backward_receive
lane11:B0:s3->s2,rank59:B1,blocking_backward_send
lane11:B0:s4->s3,rank59:B0,backward_receive
lane11:B0:s4->s3,rank75:B1,blocking_backward_send
lane11:B0:s5->s4,rank75:B0,backward_receive
lane11:B0:s5->s4,rank91:B1,blocking_backward_send
lane11:B0:s6->s5,rank107:B1,blocking_backward_send
lane11:B0:s6->s5,rank91:B0,backward_receive
lane11:B0:s7->s6,rank107:B0,backward_receive
lane11:B0:s7->s6,rank123:B1,blocking_backward_send
lane11:B0:s8->s7,rank123:B0,backward_receive
lane11:B0:s8->s7,rank139:B1,blocking_backward_send
lane11:B0:s9->s8,rank139:B0,backward_receive
lane11:B0:s9->s8,rank155:B1,blocking_backward_send
lane11:B1:s1->s0,rank11:B1,backward_receive
lane11:B1:s1->s0,rank27:B2,blocking_backward_send
lane11:B1:s10->s9,rank155:B1,backward_receive
lane11:B1:s10->s9,rank171:B2,blocking_backward_send
lane11:B1:s11->s10,rank171:B1,backward_receive
lane11:B1:s11->s10,rank187:B2,blocking_backward_send
lane11:B1:s12->s11,rank187:B1,backward_receive
lane11:B1:s12->s11,rank203:B2,blocking_backward_send
lane11:B1:s13->s12,rank203:B1,backward_receive
lane11:B1:s13->s12,rank219:B2,blocking_backward_send
lane11:B1:s14->s13,rank219:B1,backward_receive
lane11:B1:s14->s13,rank235:F3,blocking_backward_send
lane11:B1:s15->s14,rank235:B1,backward_receive
lane11:B1:s15->s14,rank251:F2,blocking_backward_send
lane11:B1:s2->s1,rank27:B1,backward_receive
lane11:B1:s2->s1,rank43:B2,blocking_backward_send
lane11:B1:s3->s2,rank43:B1,backward_receive
lane11:B1:s3->s2,rank59:B2,blocking_backward_send
lane11:B1:s4->s3,rank59:B1,backward_receive
lane11:B1:s4->s3,rank75:B2,blocking_backward_send
lane11:B1:s5->s4,rank75:B1,backward_receive
lane11:B1:s5->s4,rank91:B2,blocking_backward_send
lane11:B1:s6->s5,rank107:B2,blocking_backward_send
lane11:B1:s6->s5,rank91:B1,backward_receive
lane11:B1:s7->s6,rank107:B1,backward_receive
lane11:B1:s7->s6,rank123:B2,blocking_backward_send
lane11:B1:s8->s7,rank123:B1,backward_receive
lane11:B1:s8->s7,rank139:B2,blocking_backward_send
