rank,pp_stage,phase,behavior,behavior_delta_ns
246,15,backward,cp_all_to_all,0
247,15,forward,cp_all_to_all,0
247,15,backward,cp_all_to_all,0
248,15,forward,cp_all_to_all,0
248,15,backward,cp_all_to_all,0
249,15,forward,cp_all_to_all,0
249,15,backward,cp_all_to_all,0
250,15,forward,cp_all_to_all,0
250,15,backward,cp_all_to_all,0
251,15,forward,cp_all_to_all,0
251,15,backward,cp_all_to_all,0
252,15,forward,cp_all_to_all,0
252,15,backward,cp_all_to_all,0
253,15,forward,cp_all_to_all,0
253,15,backward,cp_all_to_all,0
254,15,forward,cp_all_to_all,0
254,15,backward,cp_all_to_all,0
255,15,forward,cp_all_to_all,0
255,15,backward,cp_all_to_all,0
0,0,backward,ep_bwd_combine_backward_dispatch,0
1,0,backward,ep_bwd_combine_backward_dispatch,0
2,0,backward,ep_bwd_combine_backward_dispatch,0
3,0,backward,ep_bwd_combine_backward_dispatch,0
4,0,backward,ep_bwd_combine_backward_dispatch,0
5,0,backward,ep_bwd_combine_backward_dispatch,0
6,0,backward,ep_bwd_combine_backward_dispatch,0
7,0,backward,ep_bwd_combine_backward_dispatch,0
8,0,backward,ep_bwd_combine_backward_dispatch,0
9,0,backward,ep_bwd_combine_backward_dispatch,0
10,0,backward,ep_bwd_combine_backward_dispatch,0
11,0,backward,ep_bwd_combine_backward_dispatch,0
12,0,backward,ep_bwd_combine_backward_dispatch,0
13,0,backward,ep_bwd_combine_backward_dispatch,0
14,0,backward,ep_bwd_combine_backward_dispatch,0
15,0,backward,ep_bwd_combine_backward_dispatch,0
16,1,backward,ep_bwd_combine_backward_dispatch,0
17,1,backward,ep_bwd_combine_backward_dispatch,0
18,1,backward,ep_bwd_combine_backward_dispatch,0
19,1,backward,ep_bwd_combine_backward_dispatch,0
20,1,backward,ep_bwd_combine_backward_dispatch,0
21,1,backward,ep_bwd_combine_backward_dispatch,0
22,1,backward,ep_bwd_combine_backward_dispatch,0
23,1,backward,ep_bwd_combine_backward_dispatch,0
24,1,backward,ep_bwd_combine_backward_dispatch,0
25,1,backward,ep_bwd_combine_backward_dispatch,0
26,1,backward,ep_bwd_combine_backward_dispatch,0
27,1,backward,ep_bwd_combine_backward_dispatch,0
28,1,backward,ep_bwd_combine_backward_dispatch,0
29,1,backward,ep_bwd_combine_backward_dispatch,0
30,1,backward,ep_bwd_combine_backward_dispatch,0
31,1,backward,ep_bwd_combine_backward_dispatch,0
32,2,backward,ep_bwd_combine_backward_dispatch,0
