iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_optimizer_ready_ns,next_node_contract,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_first_rs_ready_ns
55,118,7,6,rank118:B3,13513713716,first_optimizer_collective_or_local_tail,1785477759379930356,1785477759493565996,113635640,13627349356
55,119,7,7,rank119:B3,13512863208,first_optimizer_collective_or_local_tail,1785477759378509561,1785477759494405156,115895595,13628758803
55,120,7,8,rank120:B3,13746528385,first_optimizer_collective_or_local_tail,1785477759587993407,1785477759696276415,108283008,13854811393
55,121,7,9,rank121:B3,13764597480,first_optimizer_collective_or_local_tail,1785477759588811772,1785477759696316041,107504269,13872101749
55,122,7,10,rank122:B3,13766380613,first_optimizer_collective_or_local_tail,1785477759588670517,1785477759694902408,106231891,13872612504
55,123,7,11,rank123:B3,13768272341,first_optimizer_collective_or_local_tail,1785477759589097934,1785477759695912440,106814506,13875086847
55,124,7,12,rank124:B3,13767458267,first_optimizer_collective_or_local_tail,1785477759588368217,1785477759694557806,106189589,13873647856
55,125,7,13,rank125:B3,13767635546,first_optimizer_collective_or_local_tail,1785477759588444774,1785477759694697331,106252557,13873888103
55,126,7,14,rank126:B3,13760016052,first_optimizer_collective_or_local_tail,1785477759589057467,1785477759695797715,106740248,13866756300
55,127,7,15,rank127:B3,13757939244,first_optimizer_collective_or_local_tail,1785477759588534466,1785477759696041721,107507255,13865446499
55,128,8,0,rank128:B3,12829982062,first_optimizer_collective_or_local_tail,1785477758599591196,1785477758705816027,106224831,12936206893
55,129,8,1,rank129:B3,12825047151,first_optimizer_collective_or_local_tail,1785477758600259544,1785477758705986927,105727383,12930774534
55,130,8,2,rank130:B3,12834056673,first_optimizer_collective_or_local_tail,1785477758601563627,1785477758706666118,105102491,12939159164
55,131,8,3,rank131:B3,12828019181,first_optimizer_collective_or_local_tail,1785477758599332708,1785477758706578795,107246087,12935265268
55,132,8,4,rank132:B3,12834102074,first_optimizer_collective_or_local_tail,1785477758599117030,1785477758705465206,106348176,12940450250
55,133,8,5,rank133:B3,12834065058,first_optimizer_collective_or_local_tail,1785477758600005884,1785477758705965701,105959817,12940024875
55,134,8,6,rank134:B3,12826165930,first_optimizer_collective_or_local_tail,1785477758599070563,1785477758704979238,105908675,12932074605
55,135,8,7,rank135:B3,12826951236,first_optimizer_collective_or_local_tail,1785477758599926018,1785477758705539020,105613002,12932564238
55,136,8,8,rank136:B3,13060696037,first_optimizer_collective_or_local_tail,1785477758809177907,1785477758914810095,105632188,13166328225
55,137,8,9,rank137:B3,13078259226,first_optimizer_collective_or_local_tail,1785477758808955543,1785477758915402967,106447424,13184706650
55,138,8,10,rank138:B3,13079824897,first_optimizer_collective_or_local_tail,1785477758808960005,1785477758914888506,105928501,13185753398
55,139,8,11,rank139:B3,13081944364,first_optimizer_collective_or_local_tail,1785477758808931391,1785477758915735809,106804418,13188748782
55,140,8,12,rank140:B3,13081599829,first_optimizer_collective_or_local_tail,1785477758808754636,1785477758915232515,106477879,13188077708
55,141,8,13,rank141:B3,13081698579,first_optimizer_collective_or_local_tail,1785477758809218462,1785477758916011147,106792685,13188491264
55,142,8,14,rank142:B3,13074752627,first_optimizer_collective_or_local_tail,1785477758808718954,1785477758916665278,107946324,13182698951
55,143,8,15,rank143:B3,13073230032,first_optimizer_collective_or_local_tail,1785477758809077090,1785477758916495967,107418877,13180648909
