iteration,node_id,kind,phase,microbatch,rank,pp_stage,pp_lane,src_rank,dst_rank,src_stage,dst_stage,sequence,region,duration_ns,network_service_ns,software_completion_ns,observed_start_ns,observed_end_ns,predicted_start_ns,predicted_end_ns,critical_predecessor,local_wait_ns
55,rank176:F2,compute,forward,2,176,11,0,176,176,11,11,2,warmup,309205567,0,0,1.7854777490631818e+18,1.7854777493723873e+18,4236046320,4545251887,lane0:F2:s10->s11,173891000
55,lane0:F3:s9->s10,pp_message,forward,3,-1,9,0,144,160,9,10,-1,p2p,4712346,4712346,0,,,4243043411,4247755757,rank144:F3,0
55,rank160:F3,compute,forward,3,160,10,0,160,160,10,10,3,warmup,310896776,0,0,1.7854777490796652e+18,1.785477749390562e+18,4247755757,4558652533,lane0:F3:s9->s10,16421783
55,lane0:F0:s13->s14,pp_message,forward,0,-1,13,0,208,224,13,14,-1,p2p,4712346,4712346,0,,,4365576704,4370289050,rank208:F0,0
55,rank224:F0,compute,forward,0,224,14,0,224,224,14,14,0,warmup,315259120,0,0,1.7854777491932024e+18,1.7854777495084616e+18,4370289050,4685548170,lane0:F0:s13->s14,4370289050
55,lane0:F1:s12->s13,pp_message,forward,1,-1,12,0,192,208,12,13,-1,p2p,4712346,4712346,0,,,4374494773,4379207119,rank192:F1,0
55,rank208:F1,compute,forward,1,208,13,0,208,208,13,13,1,warmup,309526453,0,0,1.785477749203342e+18,1.7854777495128686e+18,4379207119,4688733572,lane0:F1:s12->s13,13630415
55,lane0:F2:s11->s12,pp_message,forward,2,-1,11,0,176,192,11,12,-1,p2p,4712346,4712346,0,,,4545251887,4549964233,rank176:F2,0
55,rank192:F2,compute,forward,2,192,12,0,192,192,12,12,2,warmup,312698428,0,0,1.78547774937747e+18,1.7854777496901683e+18,4549964233,4862662661,lane0:F2:s11->s12,175469460
55,lane0:F3:s10->s11,pp_message,forward,3,-1,10,0,160,176,10,11,-1,p2p,4712346,4712346,0,,,4558652533,4563364879,rank160:F3,0
55,rank176:F3,compute,forward,3,176,11,0,176,176,11,11,3,warmup,306906761,0,0,1.7854777493956137e+18,1.7854777497025203e+18,4563364879,4870271640,lane0:F3:s10->s11,18112992
55,lane0:F0:s14->s15,pp_message,forward,0,-1,14,0,224,240,14,15,-1,p2p,4712346,4712346,0,,,4685548170,4690260516,rank224:F0,0
55,lane0:F1:s13->s14,pp_message,forward,1,-1,13,0,208,224,13,14,-1,p2p,4712346,4712346,0,,,4688733572,4693445918,rank208:F1,0
55,rank240:F0,compute,forward,0,240,15,0,240,240,15,15,0,steady,194664375,0,0,1.7854777495144558e+18,1.7854777497091203e+18,4690260516,4884924891,lane0:F0:s14->s15,4690260516
55,rank224:F1,compute,forward,1,224,14,0,224,224,14,14,1,steady,308420072,0,0,1.7854777495192878e+18,1.785477749827708e+18,4693445918,5001865990,lane0:F1:s13->s14,7897748
55,lane0:F2:s12->s13,pp_message,forward,2,-1,12,0,192,208,12,13,-1,p2p,4712346,4712346,0,,,4862662661,4867375007,rank192:F2,0
55,rank208:F2,compute,forward,2,208,13,0,208,208,13,13,2,steady,311080135,0,0,1.785477749695352e+18,1.7854777500064323e+18,4867375007,5178455142,lane0:F2:s12->s13,178641435
55,lane0:F3:s11->s12,pp_message,forward,3,-1,11,0,176,192,11,12,-1,p2p,4712346,4712346,0,,,4870271640,4874983986,rank176:F3,0
55,rank192:F3,compute,forward,3,192,12,0,192,192,12,12,3,steady,309775972,0,0,1.7854777497074657e+18,1.7854777500172416e+18,4874983986,5184759958,lane0:F3:s11->s12,12321325
55,rank240:B0,compute,backward,0,240,15,0,240,240,15,15,1,steady,367732634,0,0,1.7854777497092882e+18,1.785477750077021e+18,4884924891,5252657525,rank240:F0,0
55,lane0:F1:s14->s15,pp_message,forward,1,-1,14,0,224,240,14,15,-1,p2p,4712346,4712346,0,,,5001865990,5006578336,rank224:F1,0
55,lane0:F2:s13->s14,pp_message,forward,2,-1,13,0,208,224,13,14,-1,p2p,4712346,4712346,0,,,5178455142,5183167488,rank208:F2,0
55,lane0:F3:s12->s13,pp_message,forward,3,-1,12,0,192,208,12,13,-1,p2p,4712346,4712346,0,,,5184759958,5189472304,rank192:F3,0
55,lane0:B0:s15->s14,pp_message,backward,0,-1,15,0,240,224,15,14,-1,p2p,4712346,4712346,0,,,5252657525,5257369871,rank240:B0,0
55,rank224:B0,compute,backward,0,224,14,0,224,224,14,14,2,steady,707582549,0,0,1.7854777501771254e+18,1.785477750884708e+18,5257369871,5964952420,lane0:B0:s15->s14,255503881
55,rank240:F1,compute,forward,1,240,15,0,240,240,15,15,2,steady,193299884,0,0,1.785477750176921e+18,1.785477750370221e+18,5257369871,5450669755,lane0:B0:s15->s14,4712346
55,rank240:B1,compute,backward,1,240,15,0,240,240,15,15,3,steady,365702619,0,0,1.7854777503704082e+18,1.7854777507361108e+18,5450669755,5816372374,rank240:F1,0
55,lane0:B1:s15->s14,pp_message,backward,1,-1,15,0,240,224,15,14,-1,p2p,4712346,4712346,0,,,5816372374,5821084720,rank240:B1,0
55,lane0:B0:s14->s13,pp_message,backward,0,-1,14,0,224,208,14,13,-1,p2p,4712346,4712346,0,,,5964952420,5969664766,rank224:B0,0
55,rank208:B0,compute,backward,0,208,13,0,208,208,13,13,3,steady,689479242,0,0,1.7854777509836362e+18,1.7854777516731154e+18,5969664766,6659144008,lane0:B0:s14->s13,791209624
55,rank224:F2,compute,forward,2,224,14,0,224,224,14,14,3,steady,309813534,0,0,1.7854777509832566e+18,1.78547775129307e+18,5969664766,6279478300,lane0:B0:s14->s13,4712346
55,lane0:F2:s14->s15,pp_message,forward,2,-1,14,0,224,240,14,15,-1,p2p,4712346,4712346,0,,,6279478300,6284190646,rank224:F2,0
55,rank224:B1,compute,backward,1,224,14,0,224,224,14,14,4,steady,678850166,0,0,1.7854777512989842e+18,1.7854777519778342e+18,6284190646,6963040812,lane0:F2:s14->s15,4712346
55,rank240:F2,compute,forward,2,240,15,0,240,240,15,15,4,steady,190709364,0,0,1.785477751298909e+18,1.7854777514896182e+18,6284190646,6474900010,lane0:F2:s14->s15,467818272
55,rank240:B2,compute,backward,2,240,15,0,240,240,15,15,5,steady,365911231,0,0,1.785477751489801e+18,1.7854777518557123e+18,6474900010,6840811241,rank240:F2,0
55,lane0:B0:s13->s12,pp_message,backward,0,-1,13,0,208,192,13,12,-1,p2p,4712346,4712346,0,,,6659144008,6663856354,rank208:B0,0
55,rank192:B0,compute,backward,0,192,12,0,192,192,12,12,4,steady,680485782,0,0,1.7854777517711478e+18,1.7854777524516337e+18,6663856354,7344342136,lane0:B0:s13->s12,1479096396
55,rank208:F3,compute,forward,3,208,13,0,208,208,13,13,4,steady,313348583,0,0,1.785477751770989e+18,1.7854777520843377e+18,6663856354,6977204937,lane0:B0:s13->s12,4712346
55,lane0:B2:s15->s14,pp_message,backward,2,-1,15,0,240,224,15,14,-1,p2p,4712346,4712346,0,,,6840811241,6845523587,rank240:B2,0
