iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_lane_origin_ns,predicted_backward_done_relative_ns,predicted_backward_done_ns,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_start_ns
55,170,10,10,rank170:B3,1785477744809248162,11627270740,1785477756436518902,1785477757171001424,1785477757280132175,109130751,1785477756545649653
55,171,10,11,rank171:B3,1785477744809005006,11634345266,1785477756443350272,1785477757172044524,1785477757280422242,108377718,1785477756551727990
55,172,10,12,rank172:B3,1785477744809228982,11630120527,1785477756439349509,1785477757171049838,1785477757280419019,109369181,1785477756548718690
55,173,10,13,rank173:B3,1785477744808336642,11632079275,1785477756440415917,1785477757171421959,1785477757280443307,109021348,1785477756549437265
55,174,10,14,rank174:B3,1785477744808877140,11625758053,1785477756434635193,1785477757171323768,1785477757279251297,107927529,1785477756542562722
55,175,10,15,rank175:B3,1785477744809154297,11620730348,1785477756429884645,1785477757170896675,1785477757280104303,109207628,1785477756539092273
55,176,11,0,rank176:B3,1785477744809471652,10736274215,1785477755545745867,1785477756224386230,1785477756330923378,106537148,1785477755652283015
55,177,11,1,rank177:B3,1785477744808791856,10728554280,1785477755537346136,1785477756221494500,1785477756330997535,109503035,1785477755646849171
55,178,11,2,rank178:B3,1785477744808224865,10736990554,1785477755545215419,1785477756223554241,1785477756330737888,107183647,1785477755652399066
55,179,11,3,rank179:B3,1785477744811134701,10731320884,1785477755542455585,1785477756221362527,1785477756330939479,109576952,1785477755652032537
55,180,11,4,rank180:B3,1785477744808924105,10736564687,1785477755545488792,1785477756222713310,1785477756330210357,107497047,1785477755652985839
55,181,11,5,rank181:B3,1785477744808609781,10735998310,1785477755544608091,1785477756222719516,1785477756330087989,107368473,1785477755651976564
55,182,11,6,rank182:B3,1785477744808565246,10729022215,1785477755537587461,1785477756221500638,1785477756331998436,110497798,1785477755648085259
55,183,11,7,rank183:B3,1785477744808446696,10730817579,1785477755539264275,1785477756222138750,1785477756331840372,109701622,1785477755648965897
55,184,11,8,rank184:B3,1785477744808618037,10922602737,1785477755731220774,1785477756388386976,1785477756495019146,106632170,1785477755837852944
55,185,11,9,rank185:B3,1785477744808590481,10925683856,1785477755734274337,1785477756389178532,1785477756495417975,106239443,1785477755840513780
55,186,11,10,rank186:B3,1785477744809248162,10938101545,1785477755747349707,1785477756389439284,1785477756494754004,105314720,1785477755852664427
55,187,11,11,rank187:B3,1785477744809005006,10944264882,1785477755753269888,1785477756388454725,1785477756494955721,106500996,1785477755859770884
55,188,11,12,rank188:B3,1785477744809228982,10940087932,1785477755749316914,1785477756388022230,1785477756494286969,106264739,1785477755855581653
55,189,11,13,rank189:B3,1785477744808336642,10941982998,1785477755750319640,1785477756388216876,1785477756494138330,105921454,1785477755856241094
55,190,11,14,rank190:B3,1785477744808877140,10937044881,1785477755745922021,1785477756389175401,1785477756495489418,106314017,1785477755852236038
55,191,11,15,rank191:B3,1785477744809154297,10932508843,1785477755741663140,1785477756388367327,1785477756495984771,107617444,1785477755849280584
55,192,12,0,rank192:B3,1785477744809471652,10045962920,1785477754855434572,1785477755443021271,1785477755553222978,110201707,1785477754965636279
55,193,12,1,rank193:B3,1785477744808791856,10044762333,1785477754853554189,1785477755444108513,1785477755553114813,109006300,1785477754962560489
55,194,12,2,rank194:B3,1785477744808224865,10049129657,1785477754857354522,1785477755443267650,1785477755554370092,111102442,1785477754968456964
