iteration,node_id,source_model,kind,category,rank,pp_stage,pp_lane,microbatch,predicted_start_ns,predicted_end_ns,duration_ns,network_service_ns,software_completion_ns,group_key,dependency
55,rank88:F1,pipeline,compute,forward,88,5,8,1,1785477746725976993,1785477747187920462,461943469,0,0,,lane8:F1:s4->s5
55,lane8:F2:s3->s4,pipeline,pp_message,forward,-1,3,8,2,1785477746740248585,1785477746744960931,4712346,4712346,0,,rank56:F2
55,rank56:F3,pipeline,compute,forward,56,3,8,3,1785477746744960931,1785477747070393839,325432908,0,0,,lane8:F2:s3->s4
55,rank72:F2,pipeline,compute,forward,72,4,8,2,1785477746744960931,1785477747062458743,317497812,0,0,,lane8:F2:s3->s4
55,lane8:F0:s6->s7,pipeline,pp_message,forward,-1,6,8,0,1785477747004421861,1785477747009134207,4712346,4712346,0,,rank104:F0
55,rank120:F0,pipeline,compute,forward,120,7,8,0,1785477747009134207,1785477747331790379,322656172,0,0,,lane8:F0:s6->s7
55,lane8:F2:s4->s5,pipeline,pp_message,forward,-1,4,8,2,1785477747062458743,1785477747067171089,4712346,4712346,0,,rank72:F2
55,lane8:F3:s3->s4,pipeline,pp_message,forward,-1,3,8,3,1785477747070393839,1785477747075106185,4712346,4712346,0,,rank56:F3
55,rank72:F3,pipeline,compute,forward,72,4,8,3,1785477747075106185,1785477747404204357,329098172,0,0,,lane8:F3:s3->s4
55,lane8:F1:s5->s6,pipeline,pp_message,forward,-1,5,8,1,1785477747187920462,1785477747192632808,4712346,4712346,0,,rank88:F1
55,rank104:F1,pipeline,compute,forward,104,6,8,1,1785477747192632808,1785477747519677020,327044212,0,0,,lane8:F1:s5->s6
55,rank88:F2,pipeline,compute,forward,88,5,8,2,1785477747192632808,1785477747516913586,324280778,0,0,,lane8:F1:s5->s6
55,lane8:F0:s7->s8,pipeline,pp_message,forward,-1,7,8,0,1785477747331790379,1785477747336502725,4712346,4712346,0,,rank120:F0
55,rank136:F0,pipeline,compute,forward,136,8,8,0,1785477747336502725,1785477747651734750,315232025,0,0,,lane8:F0:s7->s8
55,lane8:F3:s4->s5,pipeline,pp_message,forward,-1,4,8,3,1785477747404204357,1785477747408916703,4712346,4712346,0,,rank72:F3
55,lane8:F2:s5->s6,pipeline,pp_message,forward,-1,5,8,2,1785477747516913586,1785477747521625932,4712346,4712346,0,,rank88:F2
55,lane8:F1:s6->s7,pipeline,pp_message,forward,-1,6,8,1,1785477747519677020,1785477747524389366,4712346,4712346,0,,rank104:F1
55,rank88:F3,pipeline,compute,forward,88,5,8,3,1785477747521625932,1785477747833287617,311661685,0,0,,lane8:F2:s5->s6
55,rank104:F2,pipeline,compute,forward,104,6,8,2,1785477747524389366,1785477747854530450,330141084,0,0,,lane8:F1:s6->s7
55,rank120:F1,pipeline,compute,forward,120,7,8,1,1785477747524389366,1785477747835753107,311363741,0,0,,lane8:F1:s6->s7
55,lane8:F0:s8->s9,pipeline,pp_message,forward,-1,8,8,0,1785477747651734750,1785477747656447096,4712346,4712346,0,,rank136:F0
55,rank152:F0,pipeline,compute,forward,152,9,8,0,1785477747656447096,1785477747978920066,322472970,0,0,,lane8:F0:s8->s9
55,lane8:F3:s5->s6,pipeline,pp_message,forward,-1,5,8,3,1785477747833287617,1785477747837999963,4712346,4712346,0,,rank88:F3
55,lane8:F1:s7->s8,pipeline,pp_message,forward,-1,7,8,1,1785477747835753107,1785477747840465453,4712346,4712346,0,,rank120:F1
55,rank136:F1,pipeline,compute,forward,136,8,8,1,1785477747840465453,1785477748157172982,316707529,0,0,,lane8:F1:s7->s8
55,lane8:F2:s6->s7,pipeline,pp_message,forward,-1,6,8,2,1785477747854530450,1785477747859242796,4712346,4712346,0,,rank104:F2
55,rank104:F3,pipeline,compute,forward,104,6,8,3,1785477747859242796,1785477748173717586,314474790,0,0,,lane8:F2:s6->s7
55,rank120:F2,pipeline,compute,forward,120,7,8,2,1785477747859242796,1785477748168866398,309623602,0,0,,lane8:F2:s6->s7
55,lane8:F0:s9->s10,pipeline,pp_message,forward,-1,9,8,0,1785477747978920066,1785477747983632412,4712346,4712346,0,,rank152:F0
55,rank168:F0,pipeline,compute,forward,168,10,8,0,1785477747983632412,1785477748297016879,313384467,0,0,,lane8:F0:s9->s10
55,lane8:F1:s8->s9,pipeline,pp_message,forward,-1,8,8,1,1785477748157172982,1785477748161885328,4712346,4712346,0,,rank136:F1
55,rank152:F1,pipeline,compute,forward,152,9,8,1,1785477748161885328,1785477748479399114,317513786,0,0,,lane8:F1:s8->s9
55,lane8:F2:s7->s8,pipeline,pp_message,forward,-1,7,8,2,1785477748168866398,1785477748173578744,4712346,4712346,0,,rank120:F2
55,rank136:F2,pipeline,compute,forward,136,8,8,2,1785477748173578744,1785477748485003823,311425079,0,0,,lane8:F2:s7->s8
