scenario_id,omitted_source_stages,retained_source_stages,target_world_size,target_pp_size,target_lanes,predicted_profiler_step_ms,predicted_training_log_ms,predicted_mfu_pct,profiler_step_delta_vs_256_ms,profiler_step_delta_vs_256_pct,mfu_relative_delta_vs_256_pct,pp_front_predicted_ms_p50,first_rs_offset_ms,last_ag_offset_ms,compute_route_scale_min,compute_route_scale_p50,compute_route_scale_max,clamped_negative_dependency_lags,fallback_dependencies,dp_ag0_payload_service_scale,dp_ag1_payload_service_scale,dp_rs_payload_service_scale,edp_ag0_payload_service_scale,edp_ag1_payload_service_scale,edp_rs_payload_service_scale
omit_01_10,"1,10","0,2,3,4,5,6,7,8,9,11,12,13,14,15",224,14,16,21888.685876,23190.690451,3.248127707680304,272.4500489999991,1.260395432305983,-26.35782270387409,20213.672218,9972.48446,21859.147076,1.1420364602102218,1.1543547598394177,1.1866104954823637,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_11,"1,11","0,2,3,4,5,6,7,8,9,10,12,13,14,15",224,14,16,21871.973455,23173.97803,3.2504701660032653,255.73762799999895,1.1830812267534796,-26.304714037388955,20203.3970895,9969.529754,21842.434655,1.1415213676621014,1.1528438068628313,1.1559647208589336,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_12,"1,12","0,2,3,4,5,6,7,8,9,10,11,13,14,15",224,14,16,21868.962103,23170.966678,3.2508926045649096,252.72627600000123,1.16915025364559,-26.29513642891631,20201.469945,9971.27756,21839.423303,1.1413427098406896,1.1534605856400257,1.15649821288174,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_13,"1,13","0,2,3,4,5,6,7,8,9,10,11,12,14,15",224,14,16,21871.622757,23173.627332,3.2505193569810076,255.38693000000058,1.1814588443794127,-26.303598770062585,20196.677459,9960.317041,21842.083957,1.1471959548205704,1.154446454412941,1.1824804845377035,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_14,"1,14","0,2,3,4,5,6,7,8,9,10,11,12,13,15",224,14,16,21836.578541,23138.583116,3.25544238540877,220.34271399999852,1.0193389624514326,-26.191982920890787,20180.591054,9951.175512,21807.039795,1.1425414445687807,1.1539954955147338,1.1604390403313432,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_01_15,"1,15","0,2,3,4,5,6,7,8,9,10,11,12,13,14",224,14,16,22083.339279,23385.343854,3.22109115369051,467.1034519999994,2.1608917285060203,-26.970800665819617,20382.756426,10577.259138,22053.800479,1.1123922661802947,1.1162578896153046,1.1258467874791869,0,0,1.1607310244897229,1.1607310244897229,1.1607310244897229,1.1132075471698113,1.1132075471698113,1.1132075471698113
omit_02_03,"2,3","0,1,4,5,6,7,8,9,10,11,12,13,14,15",224,14,16,21882.13371,23184.138285,3.2490456745966627,265.8978829999978,1.230084114218788,-26.337010381056047,20221.697542,9981.127307,21852.59491,1.1517328836172207,1.1563392145173745,1.1866747324386067,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_02_04,"2,4","0,1,3,5,6,7,8,9,10,11,12,13,14,15",224,14,16,21878.435717,23180.440292,3.249563997286396,262.19988999999987,1.2129766352405147,-26.325258869154688,20215.7902015,9972.970167,21848.896917,1.1428881664754116,1.154519432032982,1.1868835753954388,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_02_05,"2,5","0,1,3,4,6,7,8,9,10,11,12,13,14,15",224,14,16,21873.897013,23175.901588,3.2502003828464883,257.6611860000012,1.1919798991004926,-26.310830613106074,20213.2248055,9974.256748,21844.358213,1.1515506444215207,1.153827236468679,1.197304551222348,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_02_06,"2,6","0,1,3,4,5,7,8,9,10,11,12,13,14,15",224,14,16,21876.642152,23178.646727,3.2498154487330413,260.4063249999999,1.2046793303149395,-26.319557913502155,20215.345581,9973.810014,21847.103352,1.1451852284915338,1.1538953597323411,1.1869645898723773,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
