iteration,rank,pp_stage,pp_lane,phase,microbatch,observed_start_ns,observed_end_ns,duration_ns
55,221,13,13,forward,0,1785477748963792018,1785477749279365053,315573035
55,221,13,13,forward,1,1785477749455156530,1785477749915599003,460442473
55,221,13,13,forward,2,1785477749926071123,1785477750236581392,310510269
55,221,13,13,backward,0,1785477751077357085,1785477751767135040,689777955
55,221,13,13,forward,3,1785477751864548611,1785477752180886519,316337908
55,221,13,13,backward,1,1785477752189828955,1785477752890638914,700809959
55,221,13,13,backward,2,1785477753350040449,1785477754032130784,682090335
55,221,13,13,backward,3,1785477754147890300,1785477754830843353,682953053
55,237,14,13,forward,0,1785477749285068852,1785477749607471593,322402741
55,237,14,13,forward,1,1785477749920843820,1785477750233509779,312665959
55,237,14,13,backward,0,1785477750297734228,1785477750979109342,681375114
55,237,14,13,forward,2,1785477751077024603,1785477751394248092,317223489
55,237,14,13,backward,1,1785477751400104510,1785477752091862629,691758119
55,237,14,13,forward,3,1785477752189818973,1785477752519115697,329296724
55,237,14,13,backward,2,1785477752525217011,1785477753251496433,726279422
55,237,14,13,backward,3,1785477753355614460,1785477754051044859,695430399
55,253,15,13,forward,0,1785477749613185353,1785477749809274115,196088762
55,253,15,13,backward,0,1785477749809410117,1785477750197109682,387699565
55,253,15,13,forward,1,1785477750297590315,1785477750489703332,192113017
55,253,15,13,backward,1,1785477750489864979,1785477750861263990,371399011
55,253,15,13,forward,2,1785477751400043009,1785477751594828129,194785120
55,253,15,13,backward,2,1785477751595004868,1785477751961546615,366541747
55,253,15,13,forward,3,1785477752525168976,1785477752718599231,193430255
55,253,15,13,backward,3,1785477752718845803,1785477753084479105,365633302
55,14,0,14,forward,0,1785477744808877140,1785477744969387623,160510483
55,14,0,14,forward,1,1785477744974697845,1785477745133039799,158341954
55,14,0,14,forward,2,1785477745308743615,1785477745466888008,158144393
55,14,0,14,forward,3,1785477745663253334,1785477745841383423,178130089
55,14,0,14,backward,0,1785477761461735873,1785477761870827089,409091216
55,14,0,14,backward,1,1785477762591541841,1785477763006560151,415018310
55,14,0,14,backward,2,1785477763643994437,1785477764052989111,408994674
55,14,0,14,backward,3,1785477764486403112,1785477764894766641,408363529
55,30,1,14,forward,0,1785477744974622960,1785477745298317254,323694294
55,30,1,14,forward,1,1785477745308655793,1785477745636151080,327495287
55,30,1,14,forward,2,1785477745663156312,1785477746005505047,342348735
55,30,1,14,forward,3,1785477746081149179,1785477746407142981,325993802
55,30,1,14,backward,0,1785477760638294077,1785477761362319006,724024929
55,30,1,14,backward,1,1785477761765287281,1785477762492564313,727277032
55,30,1,14,backward,2,1785477762821645550,1785477763545620780,723975230
55,30,1,14,backward,3,1785477763661043751,1785477764387427554,726383803
55,46,2,14,forward,0,1785477745303503086,1785477745647756682,344253596
55,46,2,14,forward,1,1785477745657963599,1785477745994595573,336631974
55,46,2,14,forward,2,1785477746075936196,1785477746395970442,320034246
55,46,2,14,forward,3,1785477746438988667,1785477746785561285,346572618
55,46,2,14,backward,0,1785477759833792804,1785477760538527720,704734916
55,46,2,14,backward,1,1785477760908215074,1785477761667513819,759298745
55,46,2,14,backward,2,1785477762014342948,1785477762722115718,707772770
55,46,2,14,backward,3,1785477762857237640,1785477763562409852,705172212
55,62,3,14,forward,0,1785477745653085097,1785477746060482141,407397044
55,62,3,14,forward,1,1785477746070765871,1785477746423532378,352766507
55,62,3,14,forward,2,1785477746433796580,1785477746771128954,337332374
55,62,3,14,forward,3,1785477746790722720,1785477747116468022,325745302
55,62,3,14,backward,0,1785477759009856695,1785477759734034322,724177627
55,62,3,14,backward,1,1785477760113360500,1785477760809927572,696567072
55,62,3,14,backward,2,1785477761223424919,1785477761915938207,692513288
55,62,3,14,backward,3,1785477762066434994,1785477762759057440,692622446
55,78,4,14,forward,0,1785477746066174787,1785477746384384513,318209726
55,78,4,14,forward,1,1785477746428645987,1785477746746593347,317947360
55,78,4,14,forward,2,1785477746776252408,1785477747093397866,317145458
55,78,4,14,forward,3,1785477747228649069,1785477747558755543,330106474
55,78,4,14,backward,0,1785477758209998564,1785477758910401093,700402529
55,78,4,14,backward,1,1785477759315713165,1785477760014581626,698868461
55,78,4,14,backward,2,1785477760423665605,1785477761124296806,700631201
55,78,4,14,backward,3,1785477761268747106,1785477761968004914,699257808
