request_id,first_release_ns,last_release_ns,last_flow_end_ns,collective_elapsed_ns,arrival_span_ns,tail_after_last_release_ns,network_tail_after_last_release_ns,trace_calibration_residual_ns,software_residual_ns,simulator_bias_correction_ns,rank_network_done_offsets_ns,source,simulator_commit,topology_hash
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1123:rel-933bd5a3ebea,0,219139,192470544,192470544,219139,192251405,151169266,41082139,41082139,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1125:rel-a237cac76a9e,0,340689,207234172,207234172,340689,206893483,151169266,55724217,55724217,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1127:rel-e53d5db49ca7,0,73725,210885683,210885683,73725,210811958,151169266,59642692,59642692,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1129:rel-9c7f8d60da35,0,448066,212663285,212663285,448066,212215219,151169266,61045953,61045953,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1131:rel-b0a1e6db3da3,0,127816,207331953,207331953,127816,207204137,151169266,56034871,56034871,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1133:rel-7be2df09c0c0,0,143421,211824191,211824191,143421,211680770,151169266,60511504,60511504,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1135:rel-6837080682fb,0,510969,208551571,208551571,510969,208040602,151169266,56871336,56871336,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp5:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1137:rel-767db1c7b6a8,0,310641,219403336,219403336,310641,219092695,151169266,67923429,67923429,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp6:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1139:rel-d42e4641fe01,0,104296,220078064,220078064,104296,219973768,151169266,68804502,68804502,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp6:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1141:rel-caeacd8507d6,0,215634,212684020,212684020,215634,212468386,151169266,61299120,61299120,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
